0,1,2,3,4,5
-0.23110825,0.05842627,-0.13395971,-0.0688745,0.13872589,0.13102382
-0.1456178,0.26697412,0.26106584,0.19185787,-0.2583678,0.19311953
0.022067562,0.05851982,0.0133590335,0.24126701,-0.11458476,0.007957052
-0.12410908,0.12932424,0.13738565,0.007813799,0.022657396,0.0005809157
0.03354573,0.1485409,-0.118417315,-0.11411494,-0.53395915,-0.03191884
0.19811201,-0.23811662,-0.059512436,0.15787105,0.082187794,-0.2053568
-0.11382585,0.15150483,0.16248634,0.33281544,-0.12933958,-0.48572546
-0.05358248,0.21112257,0.29788503,0.14432831,-0.16590197,-0.17088592
0.06716257,-0.14244837,0.0120829325,0.3666529,0.3127066,0.019103648
0.11199341,0.023566773,-0.18118395,0.20479739,0.057620287,0.17761475
0.004743977,-0.23792037,0.04834847,0.16400833,0.2081763,-0.22849746
0.19027609,0.09428012,0.1853271,0.029286811,0.1337825,0.019661857
0.14746375,0.17996147,0.3322982,0.18248028,0.18860531,0.116538085
-0.118307695,-0.1387149,-0.124625474,0.24685861,0.31079236,0.08999464
-0.30391464,0.11951935,-0.38696346,0.1781608,0.22424452,0.112368606
-0.06200276,-0.0025290493,0.029629849,-0.2627448,0.08274893,0.2401309
0.13138054,-0.053854477,0.2852284,-0.24333373,0.18319611,0.2742526
0.19840541,0.17553289,0.113841586,-0.17606112,-0.024266796,0.3323815
0.0003480188,0.116024986,-0.25459263,-0.029292084,-0.11835923,-0.10303288
-0.023267461,-0.06241246,-0.15341268,-0.026116045,0.24894422,-0.2708563
0.024230633,-0.22375482,0.14248396,-0.32744876,-0.07150534,0.32905394
-0.07724808,0.06848295,0.2556236,-0.40514293,-0.18737502,0.17095591
0.013906049,0.007666215,-0.12435602,-0.3537296,-0.17965585,-0.08204331
0.347546,0.049856853,-0.08655584,-0.3219596,-0.11304887,-0.09519939
0.022747885,0.041934498,-0.41941968,-0.02536693,-0.19605035,0.076791316
